Timestamp,Product,Buy Depth,Sell Depth,Trades
800,PEARLS,{9995:26},{10005:-26},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
800,BANANAS,{4944:26},{4951:-26},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
900,PEARLS,{9995:27;9996:2},{10004:-2;10005:-27},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
900,BANANAS,{4943:27;4944:2},{4950:-29},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
1000,PEARLS,{9995:26;9996:2},{10004:-2;10005:-26},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1000,BANANAS,{4944:28},{4950:-2;4951:-26},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
1100,PEARLS,{9995:23;9996:2},{10004:-2;10005:-23},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1100,BANANAS,{4944:25},{4950:-2;4951:-23},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
1200,PEARLS,{9995:28;9996:2;9998:9},{10004:-2;10005:-28},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1200,BANANAS,{4944:30;4945:9},{4951:-30},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
1300,PEARLS,{9995:27;9996:1},{10004:-1;10005:-27},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1300,BANANAS,{4944:28},{4946:-4;4951:-28},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
1400,PEARLS,{9995:24;9996:2},{10004:-2;10005:-24},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1400,BANANAS,{4945:25},{4951:-2;4952:-24},[{timestamp:1400; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
1500,PEARLS,{9995:20;9996:2;10002:1},{10004:-2;10005:-20},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1500,BANANAS,{4944:20;4945:2;4950:1},{4951:-22},[{timestamp:1400; symbol:BANANAS; price:4945.0; quantity:1; buyer:; seller:}]
1600,PEARLS,{9995:22;9996:1},{10004:-1;10005:-22},[{timestamp:1500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1600,BANANAS,{4945:23},{4951:-1;4952:-22},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
1700,PEARLS,{9995:27},{10005:-27},[{timestamp:1500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
1700,BANANAS,{4945:27},{4948:-2;4952:-27},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
1800,PEARLS,{9995:25;9996:2},{10004:-2;10005:-25},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
1800,BANANAS,{4945:25;4946:2},{4952:-27},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
1900,PEARLS,{9995:29;9996:2},{10004:-2;10005:-29},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
1900,BANANAS,{4945:31},{4952:-31},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
2000,PEARLS,{9995:25;9996:1},{10002:-7;10004:-1;10005:-25},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2000,BANANAS,{4945:26},{4950:-7;4951:-1;4952:-25},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
2100,PEARLS,{9995:23},{10005:-23},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2100,BANANAS,{4945:23},{4952:-23},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
2200,PEARLS,{9995:30;9996:2},{10004:-2;10005:-30},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2200,BANANAS,{4945:32},{4952:-32},[{timestamp:1500; symbol:BANANAS; price:4950.0; quantity:1; buyer:; seller:}]
2300,PEARLS,{9995:22;9996:2},{10004:-2;10005:-22},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2300,BANANAS,{4945:22;4946:2},{4952:-24},[{timestamp:2200; symbol:BANANAS; price:4952.0; quantity:16; buyer:; seller:}]
2400,PEARLS,{9995:23;9996:2;9998:4},{10004:-2;10005:-23},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2400,BANANAS,{4947:25;4948:4;4951:3},{4953:-2;4954:-23},[{timestamp:2200; symbol:BANANAS; price:4952.0; quantity:16; buyer:; seller:}]
2500,PEARLS,{9995:20;9996:1},{10004:-1;10005:-20},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2500,BANANAS,{4946:20;4947:1},{4948:-5;4953:-21},[{timestamp:2400; symbol:BANANAS; price:4951.0; quantity:3; buyer:; seller:}]
2600,PEARLS,{9995:25},{10005:-25},[{timestamp:1700; symbol:PEARLS; price:10005.0; quantity:6; buyer:; seller:}]
2600,BANANAS,{4946:25},{4953:-25},[{timestamp:2500; symbol:BANANAS; price:4948.0; quantity:5; buyer:; seller:}]
2700,PEARLS,{9995:24;9996:1;9998:4},{10004:-1;10005:-24},[{timestamp:2700; symbol:PEARLS; price:9998.0; quantity:5; buyer:; seller:}]
2700,BANANAS,{4946:24;4947:10},{4953:-25},[{timestamp:2500; symbol:BANANAS; price:4948.0; quantity:5; buyer:; seller:}]
2800,PEARLS,{9995:29;9998:5},{10005:-29},[{timestamp:2700; symbol:PEARLS; price:9998.0; quantity:5; buyer:; seller:}]
2800,BANANAS,{4946:29;4947:5;4952:1},{4953:-29},[{timestamp:2500; symbol:BANANAS; price:4948.0; quantity:5; buyer:; seller:}]
2900,PEARLS,{9995:23;9996:2;10002:10},{10004:-2;10005:-23},[{timestamp:2900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
2900,BANANAS,{4946:25},{4953:-25},[{timestamp:2800; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
3000,PEARLS,{9995:29;9996:2},{10004:-2;10005:-29},[{timestamp:2900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
3000,BANANAS,{4946:31},{4953:-31},[{timestamp:2800; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
3100,PEARLS,{9995:26;9996:2},{10004:-2;10005:-26},[{timestamp:2900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
3100,BANANAS,{4947:27},{4953:-2;4954:-26},[{timestamp:3100; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
3200,PEARLS,{9995:30;9996:2},{10002:-6;10004:-2;10005:-30},[{timestamp:2900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
3200,BANANAS,{4946:30;4947:2},{4951:-6;4953:-32},[{timestamp:3100; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
3300,PEARLS,{9995:26;9996:2},{10004:-2;10005:-26},[{timestamp:2900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
3300,BANANAS,{4946:28},{4953:-28},[{timestamp:3100; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
3400,PEARLS,{9995:27;9996:2},{10004:-2;10005:-27},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
3400,BANANAS,{4946:29},{4953:-29},[{timestamp:3100; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
3500,PEARLS,{9995:28;9996:2},{10002:-9;10004:-2;10005:-28},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
3500,BANANAS,{4946:30},{4951:-9;4953:-30},[{timestamp:3100; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
3600,PEARLS,{9995:21},{9998:-1;10005:-21},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
3600,BANANAS,{4947:21},{4954:-21},[{timestamp:3100; symbol:BANANAS; price:4947.0; quantity:1; buyer:; seller:}]
3700,PEARLS,{9995:29;9996:2},{10000:-5;10002:-7;10004:-2;10005:-29},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
3700,BANANAS,{4947:31},{4952:-6;4953:-2;4954:-29},[{timestamp:3700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
3800,PEARLS,{9995:29;9996:1;10002:1},{10004:-1;10005:-29},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
3800,BANANAS,{4947:30},{4953:-1;4954:-29},[{timestamp:3700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
3900,PEARLS,{9995:25;9998:1},{10005:-25},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
3900,BANANAS,{4947:25;4948:1},{4954:-25},[{timestamp:3700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
4000,PEARLS,{9995:27;9996:2;10002:9},{10004:-2;10005:-27},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
4000,BANANAS,{4947:29},{4953:-2;4954:-27},[{timestamp:3700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
4100,PEARLS,{9995:23;9996:1},{10004:-1;10005:-23},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
4100,BANANAS,{4946:24},{4953:-24},[{timestamp:3700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
4200,PEARLS,{9995:26;9996:2},{10004:-2;10005:-26},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
4200,BANANAS,{4946:28},{4947:-12;4953:-28},[{timestamp:3700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
4300,PEARLS,{9995:29;9996:2},{10004:-2;10005:-29},[{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:3300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:}]
4300,BANANAS,{4946:31},{4952:-2;4953:-29},[{timestamp:4200; symbol:BANANAS; price:4947.0; quantity:12; buyer:; seller:}]
4400,PEARLS,{9995:26;9996:1},{9998:-1;10004:-1;10005:-26},[{timestamp:4300; symbol:PEARLS; price:9996.0; quantity:2; buyer:; seller:};{timestamp:4300; symbol:PEARLS; price:9995.0; quantity:1; buyer:; seller:};{timestamp:4300; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
4400,BANANAS,{4946:26},{4953:-27},[{timestamp:4400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
4500,PEARLS,{9995:27},{10005:-27},[{timestamp:4400; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
4500,BANANAS,{4946:27},{4953:-27},[{timestamp:4400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
4600,PEARLS,{9995:21;9996:1},{10004:-1;10005:-21},[{timestamp:4400; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
4600,BANANAS,{4946:22},{4953:-22},[{timestamp:4400; symbol:BANANAS; price:4946.0; quantity:1; buyer:; seller:}]
4700,PEARLS,{9995:26;9996:1;9998:4},{10004:-1;10005:-26},[{timestamp:4400; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
4700,BANANAS,{4946:27},{4947:-8;4952:-1;4953:-26},[{timestamp:4700; symbol:BANANAS; price:4947.0; quantity:4; buyer:; seller:}]
4800,PEARLS,{9995:24;9996:1;10002:3},{10004:-1;10005:-24},[{timestamp:4400; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
4800,BANANAS,{4946:25;4951:1},{4952:-1;4953:-24},[{timestamp:4700; symbol:BANANAS; price:4947.0; quantity:4; buyer:; seller:};{timestamp:4700; symbol:BANANAS; price:4947.0; quantity:8; buyer:; seller:}]
4900,PEARLS,{9995:22},{9998:-4;10005:-22},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
4900,BANANAS,{4946:22},{4952:-22},[{timestamp:4800; symbol:BANANAS; price:4951.0; quantity:1; buyer:; seller:}]
5000,PEARLS,{9995:22;9996:1;9998:3},{10004:-1;10005:-22},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5000,BANANAS,{4946:22;4947:4},{4953:-23},[{timestamp:4800; symbol:BANANAS; price:4951.0; quantity:1; buyer:; seller:}]
5100,PEARLS,{9995:25;9998:9;10002:1},{10005:-25},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5100,BANANAS,{4946:25;4947:9},{4948:-2;4953:-25},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5200,PEARLS,{9995:22;9996:2},{10004:-2;10005:-22},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5200,BANANAS,{4946:22;4947:2},{4953:-24},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5300,PEARLS,{9995:25},{10005:-25},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5300,BANANAS,{4947:25},{4954:-25},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5400,PEARLS,{9995:27},{10000:-6;10002:-8;10005:-27},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5400,BANANAS,{4947:27},{4952:-8;4954:-27},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5500,PEARLS,{9995:29;9996:1},{10004:-1;10005:-29},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5500,BANANAS,{4947:30},{4954:-30},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5600,PEARLS,{9995:26;9996:1;9998:8;10002:1},{10004:-1;10005:-26},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5600,BANANAS,{4946:26;4947:9},{4953:-27},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5700,PEARLS,{9995:23;9996:2;9998:4},{10004:-2;10005:-23},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5700,BANANAS,{4947:25;4948:4;4950:2},{4954:-25},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5800,PEARLS,{9995:24;9998:10;10002:1},{10005:-24},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5800,BANANAS,{4947:24;4948:10;4953:1},{4954:-24},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
5900,PEARLS,{9995:20;9996:1;10000:5},{10004:-1;10005:-20},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
5900,BANANAS,{4947:21},{4954:-21},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6000,PEARLS,{9995:22;9996:2},{9998:-4;10004:-2;10005:-22},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6000,BANANAS,{4947:24},{4953:-2;4954:-22},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6100,PEARLS,{9995:24;9996:1},{10000:-5;10002:-2;10004:-1;10005:-24},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6100,BANANAS,{4947:25},{4952:-2;4954:-25},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6200,PEARLS,{9995:29;9996:1},{10004:-1;10005:-29},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6200,BANANAS,{4947:30},{4948:-13;4954:-30},[{timestamp:5100; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6300,PEARLS,{9995:25},{10005:-25},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6300,BANANAS,{4947:25},{4948:-1;4954:-25},[{timestamp:6200; symbol:BANANAS; price:4948.0; quantity:13; buyer:; seller:}]
6400,PEARLS,{9995:23;10000:4},{10005:-23},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6400,BANANAS,{4947:23},{4954:-23},[{timestamp:6300; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6500,PEARLS,{9995:20},{10005:-20},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6500,BANANAS,{4947:20},{4954:-20},[{timestamp:6300; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6600,PEARLS,{9995:26;9996:1},{10004:-1;10005:-26},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6600,BANANAS,{4948:27},{4955:-27},[{timestamp:6300; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
6700,PEARLS,{9995:26;9996:2;10002:4},{10004:-2;10005:-26},[{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:4900; symbol:PEARLS; price:9998.0; quantity:4; buyer:; seller:}]
6700,BANANAS,{4948:28},{4954:-2;4955:-26},[{timestamp:6600; symbol:BANANAS; price:4955.0; quantity:18; buyer:; seller:}]
6800,PEARLS,{9995:23;9996:1;9998:1},{10004:-1;10005:-23},[{timestamp:6700; symbol:PEARLS; price:10002.0; quantity:4; buyer:; seller:}]
6800,BANANAS,{4947:24;4948:1},{4954:-24},[{timestamp:6600; symbol:BANANAS; price:4955.0; quantity:18; buyer:; seller:}]
6900,PEARLS,{9995:28},{10005:-28},[{timestamp:6800; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
6900,BANANAS,{4947:28;4951:4;4952:1},{4954:-28},[{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
7000,PEARLS,{9995:27;9996:2;9998:7;10000:6},{10004:-2;10005:-27},[{timestamp:6800; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
7000,BANANAS,{4947:29;4948:7},{4954:-29},[{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
7100,PEARLS,{9995:29;9996:1},{10004:-1;10005:-29},[{timestamp:6800; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
7100,BANANAS,{4947:30},{4954:-30},[{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
7200,PEARLS,{9995:21;9996:2},{10004:-2;10005:-21},[{timestamp:6800; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:PEARLS; price:9996.0; quantity:1; buyer:; seller:}]
7200,BANANAS,{4947:23},{4954:-23},[{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:};{timestamp:6800; symbol:BANANAS; price:4948.0; quantity:1; buyer:; seller:}]
7300,PEARLS,{9995:23;9996:2},{10002:-4;10004:-2;10005:-23},[{timestamp:7200; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:}]
7300,BANANAS,{4947:25},{4952:-4;4954:-25},[{timestamp:7200; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
7400,PEARLS,{9995:28;9996:2;10002:1},{10004:-2;10005:-28},[{timestamp:7200; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:}]
7400,BANANAS,{4947:30},{4953:-2;4954:-28},[{timestamp:7200; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
7500,PEARLS,{9995:29},{10005:-29},[{timestamp:7400; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
7500,BANANAS,{4947:29},{4953:-29},[{timestamp:7200; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
7600,PEARLS,{9995:24;9996:2},{10004:-2;10005:-24},[{timestamp:7400; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
7600,BANANAS,{4946:26},{4953:-26},[{timestamp:7200; symbol:BANANAS; price:4954.0; quantity:1; buyer:; seller:}]
7700,PEARLS,{9995:28},{10005:-28},[{timestamp:7400; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
7700,BANANAS,{4945:28;4951:1},{4952:-28},[{timestamp:7600; symbol:BANANAS; price:4946.0; quantity:2; buyer:; seller:}]
7800,PEARLS,{9995:22;9996:1},{10004:-1;10005:-22},[{timestamp:7700; symbol:PEARLS; price:10005.0; quantity:1; buyer:; seller:}]
7800,BANANAS,{4946:23;4951:1},{4952:-1;4953:-22},[{timestamp:7700; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:};{timestamp:7700; symbol:BANANAS; price:4951.0; quantity:1; buyer:; seller:}]
7900,PEARLS,{9995:25;9996:1},{10002:-4;10004:-1;10005:-25},[{timestamp:7900; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
7900,BANANAS,{4945:25;4946:1},{4950:-4;4952:-26},[{timestamp:7900; symbol:BANANAS; price:4951.0; quantity:1; buyer:; seller:}]
8000,PEARLS,{9995:22;9996:1},{10004:-1;10005:-22},[{timestamp:7900; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
